Customer No.,Customer Name
C0015503,VODAFONE ΠΑΝΑΦΟΝ ΕΛΛΗΝΙΚΗ A.E. ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ
C0015507,ΣΑΝΤΡΟ ΜΠΡΟΥΝΙ ΝΤΙΣΤΡΙΜΠΟΥΣΙΟΝ ΑΕ
C0015514,ΙΜΕΚ ΕΛΛΑΣ ΑΕ
C0015516,ΙΤΧ ΕΛΛΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ
C0015518,QUALITY & RELIABILITY AE
C0015520,INTERTRADE HELLAS AΒΕΕ
C0015527,F.H.P ΕΛΛΑΣ ΑΕ
C0015533,ALLIANZ  Α.Ε.Δ.Α.Κ.
C0015534,ΙΝΤΕΡΑΜΕΡΙΚΑΝ ΒΟΗΘΕΙΑΣ ΑΕΓΑ
C0015538,ΓΚΟΛΝΤΑΙΡ ΕΞΥΠΗΡΕΤΗΣΕΙΣ ΕΔΑΦΟΥΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ
C0015543,ΚΡΙΤΣΙΚΗΣ Ν.Κ Α.Ε.
C0015544,ΙΝΤΕΡΑΣΙΣΤΑΝΣ ΜΟΝΟΠΡΟΣΩΠΗ Α.E.E
C0015547,PLASTINO  ΑΕ
C0015549,TOP ELECTRONICS COMPONENTS AE
C0015555,ΑΝΑΠΤΥΞΙΑΚΗ ΚΑΣΤΟΡΙΑΣ ΑΕ
C0015560,ΜΕΤΑΛ ΑΒΕΕ
C0015561,SEPTONA ΑΒΕΕ
C0015570,ΙΝΤΡΑΛΟΤ ΑΕ
C0015571,ΣΕΦΚΟ ΖΕΕΛΑΝΔΙΑ ΑΒΕΕ
C0015572,D.S. MILKA ΑΒΕΕ
C0015575,ATHENS TECHNOLOGY CENTER ABETE
C0015578,ΠΑΠΑΝΤΩΝΑΤΟΣ ΑΒΕΕ
C0015579,Ι.C.R.IΩΑΝΝΟΥ
C0015580,ΕΜ-ΕΣ ΠΡΕΣΣ Α.Ε.
C0015587,KAFKALAS FASHION GROUP ABEE
C0015589,ΕΡΓΟΔΥΝΑΜΙΚΗ ΠΑΤΡΩΝ Α.Τ.Ε.
C0015590,ΒΑΡΝΑΚΙΩΤΗΣ Σ.ΥΑΛΟΠΙΝΑΚΕΣ ΑΕ
C0015599,ΒΙΟΜΗΧΑΝΙΑ ΑΛΟΥΜΙΝΙΟΥ ΤΑΜΒΑΚΟΛΟΓΟΥ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑ
C0015601,ΣΕΙΜΕΚΗΣ ΓΕΩΡΓΙΟΣ ΑΕΒΕ
C0015603,ΒΑΜΒΑΚΟΥΛΑΣ ΣΤ.-ΦΙΛΙΠΠΗ ΑΦΟΙ ΑΕ
C0015604,ΗΛΙΟΤΡΟΠΙΟ
C0015605,ΑΣΗΜΑΚΗΣ ΓΡΗΓΟΡΙΟΥ ΑΕ
C0015606,ΕΤΑΙΡΙΑ ΤΟΠΙΚΗΣ ΑΝΑ/ΞΗΣ ΛΕΣΒΟΥ ΑΕ LEADER
C0015610,ΠΑΠΑΙΩΑΝΝΟΥ Ι. & ΣΙΑ ΕΕ
C0015612,ΚΑΖΑΝΑΣ ΒΑΣΙΛΕΙΟΣ ΑΕΒΕ 
C0015618,ΕΥΡΩΠΑΪΚΕΣ ΚΑΙΝΟΤΟΜΙΚΕΣ ΛΥΣΕΙΣ – EUROPEAN INNOVATI
C0015624,α
C0015626,ΑΓΓΕΛΟΣ ΘΩΜΑΔΑΚΗΣ ΑΕΒΕ-FLEX HOS
C0015627,ΝΙΚΟΛΗΣ ΑΒΕΕ
C0015628,ΘΕΟΔΟΥΛΙΔΗΣ ΑΕ
C0015631,ΤΕΜΑΚ ΑΕΤΕ
C0015632,ΕΞΠΟΣΥΣΤΕΜ ΑΕ
C0015636,ΔΙΟΝΥΣΙΟΣ ΚΑΡΑΚΑΣΙΔΗΣ ΑΝΩΝΥΜΗ ΞΕΝΟΔΟΧΕΙΑΚΗ ΤΟΥΡΙΣΤ
C0015637,ΜΟΥΖΑΚΗ Δ. ΑΦΟΙ ΑΞΤΕΕ
C0015638,ΑΜΠΕΛΑΣ Δ. ΑΕΒΕ
C0015641,ΒΙΤΣΟΥ ΣΠΥΡΟΣ & ΒΙΚΗ ΑΕ
C0015643,ΚΟΛΠΟΝΔΙΝΟΣ Θ. ΔΙΟΝΥΣΙΟΣ ΑΕ
C0015645,ΝΤΟΚΟΣ ΤΕΧΝΙΚΗ ΑΕΤΕ
C0015647,ΦΑΡΜΑΚAΠΟΘΗΚΗ PHARMA GROUP ΑΡΓΟΛΙΔΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡ
C0015648,ΔΗΜΑΣ Α.Ε.Β.Ε.
C0015650,ΠΕΝΤΕ ΑΕ
C0015655,ΜΠΑΓΚΑΤΖΟΥΝΗΣ Μ.& ΥΙΟΙ ΑΕΒΕ
C0015657,ΜΟΥΡΑΤΟΓΛΟΥ ΗΛΕΚΤΡΑΠΟΘΗΚΗ ΑΕ
C0015658,ΧΑΡΙΤΩΝΙΔΗΣ ΑΕ
C0015661,Β Ι Ε Ρ  Α.Τ.Ε
C0015665,ΓΕΩΡΓΑΚΟΠΟΥΛΟΣ Κ.ΑΕ
C0015674,LA PERLA VILLAS Α.Ξ.Τ.Ε.
C0015675,ΚΑΠΑΡΗ ΑΞΤΕΕ
C0015679,ΚΡΗΤΙΚΑ ΑΚΙΝΗΤΑ ΑΕ
C0015680,ΚΥΔΩΝ ΞΕΝ/ΚΕΣ & ΤΟΥΡ/ΚΕΣ ΕΠ/ΣΕΙΣ ΑΕ
C0015682,ΚΑΣΙΜΑΤΗΣ ΑΕ
C0015683,ΑΡΧΟΝΤΑΚΗΣ Γ. ΑΕΞΕ
C0015687,ΓΙΑΝΝΗΣ ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΑΒΕΕ
C0015693,ΚΑΣΙΝΑΚΗΣ Π.Ε ΑΕ
C0015694,ΔΑΡΑΚΛΗΣ Π. ΑΒΕΕ
C0015695,ΤΑΙ  Α.Β.Ε.Ε
C0015702,FALCON AEBE
C0015706,ΜΕΝΤΙΤΕΡΡΑΝΕΑΝ ΣΗΠΠΙΝΓΚ ΚΟΜΠΑΝΥ ΕΛΛΑΣ ΑΝΩΝΥΜΟΣ ΕΤΑ
C0015710,ΑΙΓΑΙΟΝ ΟΪΛ ΑΕ
C0015713,ΔΑΜΙΓΟΥ ΑΦΟΙ ΑΕ-NKF
C0015714,PANDAIR AE
C0015715,DHL GLOBAL FORWARDING ΕΛΛΑΣ ΑΕ
C0015721,ΜΕΤΑΛΛΕΥΤΙΚΗ ΘΡΑΚΗΣ ΕΡΕΥΝΩΝ & ΕΚΜΕΤΑΛΕΥΣ
C0015723,ZITA TOYS AE
C0015725,ΑΝΑΠΤΥΞΙΑΚΗ  ΔΡΑΜΑΣ Α.Ε
C0015727,ΠΑΓΑΝΕΛΗ ΑΝΔΡΙΑΝΗ ΑΕ
C0015728,ΑΚΤΗ ΑΙΓΑΙΟΥ ΑΝΩΝΥΜΗ  ΕE
C0015733,ΝΕΟ ΡΟΔΟΓΑΛ ΑΕΒΕ
C0015734,ΑΛ.ΜΑ.ΜΠΙΝ.Α.Ε
C0015740,ΛΑΤΟΜΕΙΑ ΧΟΡΔΑΚΙΟΥ
C0015743,ΟΡΥΖΟΜΥΛΟΙ ΑΝΑΓΕΝΝΗΣΗΣ Α.Ε.
C0015745,STRATOS APARTMENTS
C0015750,ΚΑΜΑΡΑΚΗΣ ΑΕ
C0015752,AMADEUS HELLAS  ΜΟΝ AE
C0015753,ΑΝΕΜΟΕΣΣΑ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ ΤΟΥΡΙΣΤΙΚΩΝ ΞΕΝΟΔΟΧΕΙΑΚ
C0015754,ENDLESS EC  ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε.
C0015758,GRUNDFOS HELLAS ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε.Β.Ε.
C0015759,IID AE
C0015760,EUROFOOD ΠΟΙΟΤΗΤΑ ΑΕ
C0015761,ΕΜΠΟΡΙΚΗ ΜΗΧΑΝ/ΤΩΝ & ΒΙΟΜHX/ΚΩΝ ΕΙΔΩΝ ΑΕΕ ERGOTRAK
C0015762,ΣΥΝΕΡΓΑΖΟΜΕΝΟΙ  ΟΡΚΩΤΟΙ ΛΟΓΙΣΤΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ 
C0015765,FOCUS BARI AE
C0015768,ΤΑΝ ΚΟΜΠΙΟΥΤΕΡ ΗΛΕΚΤΡΟΝΙΚΗ ΑΕ
C0015772,ΝΟΣΟΚΟΜΕΙΑΚΗ ΓΡΑΜΜΗ ΑΕ ΕΙΣΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΙΑΤΡ
C0015773,DIMA AEΒΕ
C0015775,ΙΩΑΝΝΙΔΗ Ι. ΑΦΟΙ ΑΕ
C0015779,ROLEX HELLAS ΑΕ
C0015782,EUROPEAN APPLIANCES GREECE  Α.Ε.
C0015786,ΔΟΥΝΙΑΣ Ι. ΑΕ
C0015788,MADONA EXPRESS-ΑΝ.ΕΜΠ.&ΒΙΟΜ.ΕΤ.ΑΦΡΟΔ.ΠΛ.
C0015790,CD MEDIA S.E.
C0015791,ΑΝΑΣΤΟΠΟΥΛΟΣ Δ. & Σ. ΑΕ
C0015796,ΟΝΕΤΕΑΜ ΑΕ
C0015797,ΠΡΑΙΣΓΟΥΩΤΕΡΧΑΟΥΣΚΟΥΠΕΡΣ ΑΝΩΝΥΜΗ ΕΛΕΚΤΙΚΗ ΕΤΑΙΡΕΙΑ
C0015798,ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΦΑΡΜΑΚΑΠΟΘΗΚΗ ΑΕ
C0015801,ΣΥΣΤΗΜΑΤΑ SUNLIGHT ABEE
C0015802,ΤΡΙΧΩΝΙΔΑ ΑΕ ΑΝΑΠΤΥΞΙΑΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΟΤΑ
C0015803,ΕΡΓΟ   ΑΤΕ
C0015808,ΓΚΟΛΙΟΠΟΥΛΟΣ N. & Κ.  ΑΤΕ
C0015810,ΒΙΚΤΩΡ ΑΒΕΕ
C0015811,ΚΡΥΣΤΑΛΟΤΕΧΝΙΚΗ
C0015815,ΜΑΝΩΛΑΚΟΥΔΗΣ  ΑΕ
C0015817,ΡΟΛΑ ΚΑΤΕΡΙΝΗΣ Α.Β.Ε.Ε.
C0015818,BIOS AGROSYSTEMS ΜΟΝΟΠΡΟΣΩΠΗ ΑΒΕΕ
C0015821,SPEEDEX AE
C0015824,ΠΑΝΑΓΙΩΤΟΥ ΑΕΒΕ
C0015825,MAVIL ΑΒΕΕ
C0015826,ΠΟΤΟΚΙΝΗΣΗ ΑΕ
C0015827,ΠΑΝ ΜΑΡΚΕΤ Α.Ε.
C0015828,ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΙΟ ΣΕΡΡΩΝ ΑΕ
C0015830,ΖΩΝΤΑΝΕΣ ΜΕΤΑΔΟΣΕΙΣ ΑΕ
C0015833,ΛΙΒΑΡΔΑΣ Β. ΑΠΟΣΤΟΛΟΣ Α.Ε.
C0015836,LETER PHONE AE
C0015839,ΚΑΡΒΑ - ΜΑΘΡΑ ΑΕ
C0015843,ΜΕΣΟΓΕΙΑΚΗ ΑΕ
C0015848,ΛΕΟΥΣΗΣ Γ. ΑΕ
C0015853,ENTARCO ABEE
C0015855,ΠΡΟΚΟΣ ΑΕ
C0015856,McCANN ERICKSON ΔΙΑΦΗΜΙΣΤΙΚΗ ΑΕΕ
C0015859,ALCOVIN ΑΒΕΕ
C0015861,ΑΠΕΛΛΑ Α.Ε.
C0015863,ΑΓΡΟΤΥΠΟΣ Α.Ε
C0015867,ΗΠΕΙΡΟΣ ΑΕΒΕ ΠΡΟΙΟΝΤΩΝ ΓΑΛΑΚΤΟΣ
C0015869,ΓΑΚ ΑΕ
C0015870,ΒΛΑΧΑΚΗΣ ΟΡΝΙΘΟΤΡΟΦΙΑ ΒΙΟΜΗΧΑΝΙΑ ΠΤΗΝΟΚΤΗΝΟΤΡΟΦΩΝ 
C0015876,ΣΑΡΑΤΣΟΠΟΥΛΟΣ EMM.ΑΕΒΕ- UNILENS SA
C0015877,ΕΔΡΑΙΟΣ ΑΤΕ
C0015882,ΚΑΠΑ ΣΙΓΜΑ ΔΕΛΤΑ ΑΕ
C0015886,ΦΛΩΡΟΣ ΚΩΝ/ΝΟΣ ΑΒΕΕ
C0015898,ΣΙΛΝΤ ΑΙΡ ΕΛΛΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ
C0015902,DPA -ΗΛΕΚΤΡΟΝΙΚΕΣ ΕΚΤΥΠΩΤΙΚΕΣ ΕΦΑΡΜ.ΑΕ
C0015904,MANETTI Α.Ε.
C0015907,ΛΕΩΝ ΠΛΑΣΤ ΑΒΕΕ
C0015908,ΕΛΛΗΝΟΤΥΠΙΚΗ ΑΒΕΕ
C0015910,MEDIFORM
C0015911,UNIFLAME AE
C0015914,ΑΠΟΛΛΩΝΙΟΝ ΑΕ
C0015916,ΕΡΝΣΤ & ΓΙΑΝΓΚ Α.Ε. ΠΑΡΟΧΗΣ ΣΥΜΒ. ΥΠΗΡΕΣ
C0015918,ΣΚΑΡΠΑΣ  ΚΥΡΙΑΚΟΣ ΑΕ
C0015921,PETLINE AE
C0015926,AEGLI MEDICAL OPTICS AE
C0015927,ΦΑΡΜΑΣΥΝ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΦΑΡΜΑΚΕΥΤΙΚΗ ΕΤΑΙΡΕΙΑ
C0015934,RADEL SA
C0015935,ΣΣΜΑΡΤ Α.Ε.
C0015937,LACTALIS HELLAS AE
C0015941,ΚΟΥΖΟΥΠΗΣ AE ΚΟΣΜΗΜΑΤΟΠΟΙΙΑ
C0015944,D.A.S. - HELLAS ΑΕ
C0015948,MASTER AE- ΚΕΝΤΡΟ ΚΑΤΑΡΤΙΣΗΣ
C0015951,BRINK S CASH & VALUABLE SERVICES SA
C0015952,C.P.I AE
C0015953,ABC FACTORS ΠΡΑΚΤ. ΕΠΙΧ/ΚΩΝ ΑΠΑΙΤ. ΜΟΝ AE
C0015957,ΑΦΟΙ ΒΟΛΩΝΑΚΗ ΟΕ - ΣΑΒΑΤΙ ΟΕ
C0015958,ΕΙΔΗΣΕΟΦΩΝΙΚΗ ΕΛΛΑΣ ΑΕΕ
C0015960,FORD MOTOR HELLAS AEBE
C0015962,LUNDBECK HELLAS SA
C0015963,PROFILE ΑΕΒΕΠ
C0015964,FLAMME HELLAS SA
C0015969,ΑΝΤΖΟΥΛΑΤΟΣ ΑΕ
C0015972,URBANICA Α.Ε
C0015974,ΓΕΩΓΡΑΦΙΚΗ ΑΕ
C0015975,ΤΣΑΜΟΥΡΗΣ - ΔΟΥΖΟΓΛΟΥ Α.Ε
C0015976,DEALCO AEE
C0015981,MEDIA COMMUNICATIONS AE
C0015986,ΑΜΑΛΙΑ ΞΕΝΟΔΟΧΕΙΑΚΗ& ΤΟΥΡΙΣΤΙΚΗ ΑΕ
C0015987,ZIMMER BIOMET ΕΛΛΑΣ ΜΟΝ ΑΕ
C0015988,G4S ΙΔΙΩΤ ΕΠΙΧ ΠΑΡ    ΥΠΗΡ ΑΣΦ ΕΜΠΟΡ  ΚΑΙ ΠΑΡ ΠΡΟΗ
C0015990,PIERRE FABRE FARMAKA Α.Ε
C0015991,TRANSCOMBI EXPRESS ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΜΕΤΑΦΟΡΙΚΗ 
C0015994,ORBIT LOGISTICS (CEVA) ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΊΑ
C0015995,SOFISTIK HELLAS Α.Ε.
C0015997,VOUCHERS SERVICES SA
C0016000,ΕΛΛΗΝΙΚΗ ΕΤΑΙΡ.ΕΠΕΝΔΥΣΕΩΝ & ΕΞΩΤ.ΕΜΠ. ΑΕ
C0016002,SOLVAY ΧΗΜΙΚΑ ΑΕ
C0016003,ΔΥΝΑΜΙΚΗ  ΦΑΡΜΑΚΑΠΟΘΗΚΗ ΑΕ
C0016007,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ ΑΘΗΝΩΝ ΑΕ-ΕΛ.ΒΕΝΙΖΕΛ
C0016009,ΝΙΤΣΙΑΚΟΣ Θ. Α.Β.Ε.Ε.
C0016010,ΜΠΕΓΚΑΣ ΑΕ
C0016012,FGAS EU ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ
C0016013,ΤΥΠΟΓΡΑΜΜΑ ΑΕ
C0016014,ZHTA PALACE ΑΕ
C0016015,ΠΡΩΤΟΝ Α Ε 
C0016016,ΛΟΥΞ-ΜΑΡΛΑΦΕΚΑΣ ΑΒΕΕ
C0016018,ΦΑΡΜΑΚΑΠΟΘΗΚΗ PHARMA GROUP ΑΧΑΙΑΣ ΑΝΩΝΥΜΗ  ΕΤΑΙΡ
C0016029,ΜΠΑΖΙΓΟΣ Ν. ΑΒΕΕ
C0016032,EXTRACO S.A
C0016035,ΣΚΟΥΡΤΗΣ Π.ΑΒΕΕ
C0016036,DATAPLEX A.E.E
C0016041,ACCENTURE AE
C0016042,Y-LOGIMED Μ. AE
C0016043,ΚΕΜ Γ. ΜΙΧΑΗΛΙΔΗΣ ΑΕΒΕ
C0016048,NUMIL HELLAS ΑΕ
C0016052,ΝΙΚΟΛΑΙΔΗΣ Κ.& Ι.ΑΒΕΕ
C0016058,ΜΠΕΤΤΙΝΑ ΑΒΕΕ
C0016061,GU HELLAS A.E.
C0016063,Θ ΚΕΡΑΜΙΔΑΣ Χ ΧΑΤΖΗΙΩΑΝΝΙΔΗΣ ΑΝΩΝΥΜΟΣ ΒΙΟΤΕΧΝΙΚΗ Ε
C0016067,ΒΙΔΑΛΗΣ Ν. Α.Ε.
C0016069,MLS ΠΛΗΡΟΦΟΡΙΚΗ
C0016072,INTERIUM AE
C0016076,ΙΝΤΕΡΣΑΛΟΝΙΚΑ A.Ε.Γ.Α.
C0016078,VAN (βΑΝ) Α.Ε.
C0016081,BOSCH REXROTH S.A.
C0016082,ΠΑΝΟΠΟΥΛΟΙ ΑΦΟΙ ΑΒΕΕ
C0016090,DHL EXPRESS ΕΛΛΑΣ MON. Α.Ε.  (DELIVERY)
C0016091,EUROMACH AE
C0016092,ΤΣΕΜΠΕΡΤΖΗΣ ΜΙΧ. KLIMAFOT ΑΒΕΕ
C0016094,ΦΩΤΟΔΟΜΗ ΑΕ ΕΙΔΩΝ ΦΩΤΙΣΜΟΥ ΚΑΙ ΗΛΕΚΤΡΟΛΟΓΙΚΟΥ ΥΛΙΚ
C0016097,ΣΑΒΒΑΣ ΤΖΑΜΤΖΗΣ ΑΕ
C0016098,PALAPLAST A.E.
C0016100,SONOCO ΕΛΛΗΝΙΚΗ ΧΑΡΤΟΠΟΙΪΑ & ΚΥΛ/ΚΗ ΣΥΣΚ
C0016101,ΤΕΛΙΔΗΣ ΝΙΚ. & ΥΙΟΣ Α.Β.Ε.Ε.
C0016103,OXFORD COMPANY Α.Β.Ε.Ε.
C0016106,ROMA PIZZA ΑΕΒΕ
C0016107,SIEMENS HEALTHINEERS ΕΛΛΑΣ ΜΟΝ. ΑΕ
C0016111,ΜΠΛΕ ΜΥΛΟΣ ΑΒΕΕ
C0016112,SCITEC ΙΑΤΡΙΚΑ ΣΥΣΤΗΜΑΤΑ ΕΕ
C0016120,ΧΡΩΜΟΧΗΜΙΚΗ ΑΒΕΕ
C0016123,GENERAL MILLS HELLAS ΑΕ
C0016124,ΣΩΤΗΡΙΟΣ ΝΑΥΠΛΙΩΤΗΣ ΑΒΕΕ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΕΙ
C0016142,ΖΑΜΙΤ Γ. Α.Ε.
C0016146,ΑΓΡΟΧΟΥΜ ΑΕ
C0016148,ΒΙΟΤΥΡ ΑΕΒΕ
C0016151,MELLON TECHNOLOGIES ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ 
C0016155,ΓΙΑΝΝΗΣ ΓΙΑΝΝΑΚΟΣ Α.Ε.Β.Ε.
C0016158,ΜΟΝΩΣΗ ΣΥΣΚΕΥΑΣΙΑ ΑΒΕΕ
C0016160,ALFA FROST AE
C0016165,ΠΡΙΣΜΑ ΑΤΕ
C0016171,ΣΩΛΗΝΟΥΡΓΕΙΑ ΕΛΕΥΣΙΝΑΣ ΑΒΕΞΕ
C0016174,ΑΝΑΣΤΑΣΙΑΔΗ Α.Ε
C0016178,INCHCAPE INSURANCE ΑΣΦΑΛΙΣΤΙΚΟΙ ΠΡΑΚΤΟΡΕΣ ΜΟΝ. ΑΕ
C0016182,ΑΦΟΙ ΤΡΟΚΟΥΔΗ ELTOP ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ
C0016186,ΕΡΓΟΜΠΕΤΟΝ Α.Β.Ε.Τ.Ε.Θ
C0016192,ΔΗΜΗΤΡΙΑΔΗΣ ΞΕΝΟΦΩΝ ΑΕ
C0016197,ΑΤΛΑΝΤΙΣ Α.Ε. ΑΣΦΑΛΤΟΥ-ΕΝΕΡΓΕΙΑΣ
C0016199,ΠΛΑΜΑΛ AEBE
C0016201,ΘΕΡΙΑΝΟΥ ΑΦΟΙ Α.Ε
C0016202,CORAL ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ
C0016207,ΘΕΜΑΓΙ ΑΒΕΕ ΕΠΙΣΚ ΚΑΤΑΣΚ ΕΜΠΟΡ ΥΠΟΔΗΜ ΕΝΔΥΜΑΤΩΝ ΣΥ
C0016208,ΝΕΝΤΙΜ ΜΟΝΟΠΡΟΣΩΠΗ ΑΒΕΕ
C0016211,ΧΑΝΟΣ ΑΒΕΕ
C0016212,ΑΛΦΑ ΔΙΕΘΝΕΙΣ ΑΕΡΟΓΡΑΜΜΕΣ Α.Ε.
C0016213,ΑΙΓΑΙΟΝ ΗΛΕΚΤΡΟΝΙΚΗ ΑΕ
C0016216,ΖΩΓΡΑΦΟΣ ΑΕΒΕ
C0016218,ΜΥΡΤΕΑ ΑΕ
C0016219,NILFISK HELLAS AE
C0016221,ΗΛΙΑΔΕΣ ΔΙΑΚΟΠΕΣ ΣΤΗΝ ΕΛΛΑΔΑ   ΑΕΕΤΥ
C0016223,ELINCO ΑΕ
C0016225,CENTRIC ΣΥΜΜΕΤΟΧΩΝ  ΑΕ
C0016229,ΜΕΤΣΟΒΟ Α.Ε.
C0016230,ΑΦΟΙ Ν. ΚΑΡΑΓΙΑΝΝΗ Α.Ε.
C0016232,CRETA HOUSE A.E
C0016233,ΠΑΠΑΔΑΚΗΣ ΜΕΤΑΛΛΟΒΙΟΜΗΧΑΝΙΚΗ AΕΒΕ
C0016236,ΧΑΤΖΗΕΛΕΝΗΣ ΑΕΒΕ
C0016245,ΠΑΓΟΥΝΗ ΑΕ
C0016249,ΙΜΕΜΑ ΑΕ
C0016256,ΠΑΠΑΔΟΠΟΥΛΟΣ  ΓΙΑΝΝΗΣ ΑΕ BMW
C0016260,ORANGE A.E
C0016262,ΑΝΟΔΟΣ ΑΕ
C0016264,ΤΖΑΡΑΚΗΣ Α.Ε.
C0016265,CHEMIX A.E.
C0016266,EUROLOGIC TRANSPORTS SA
C0016267,ΛΕΚΚΑ ΑΕ
C0016271,CANDY HOOVER HELLAS ΜΟΝ AE
C0016273,ΦΑΝΑΡΑΣ ΣΤΡΑΤΟΣ & ΣΙΑ ΑΕ-METRON ANALYSIS
C0016280,ΛΑΜΠΟΡ Α.Ε.
C0016282,ΣΙΑΓΚΡΗΣ Ι.Ν ΑΕ-GLORIA
C0016285,ΕΚΚΑ ΑΥΤΟΚΙΝΗΤΑ ΑΕ
C0016290,ΣΤΑΡ ΜΠΕΤΟΝ Α.Ε
C0016291,PRICEWATERHOUSECOOPERS BUSINESS SOLUTIONS ΑΝΩΝΥΜΗ 
C0016295,ΟΔΕΣΟΥΣ ΑΕ
C0016297,ΤΟΜΗ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ
C0016298,ΠΡΟΜΟΣΠΟΡΤ ΑΘΛΗΤΙΚΗ ΕΠΙΚΟΙΝΩΝΙΑ ΑΕ
C0016300,ΕΞΕΛΙΞΗ ΑΕ
C0016302,ΟΛΥΜΠΙΟΣ ΕΜΠΟΡΙΚΗ ΑΕΕ
C0016303,ΜΑΞΙΜΑ ΑΝΩΝ ΕΤ ΣΥΝΕΔΡΙΑΚΩΝ ΚΑΙ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΙΧΕΙΡ
C0016304,ΩΤΟΛΟΥΞ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΜΠΟΡΙΑΣ ΑΥΤΟΚΙΝΗΤΩΝ ΑΝΤΑ
C0016305,HOMII I.K.E.
C0016308,CISCO ΣΥΣΤΗΜ. ΔΙΑΔΥΚΤΙΩΣΗ ΕΛΛΑΣ ΑΕ
C0016309,SCHENKER Α.Ε. ΜΕΤΑΦΟΡΩΝ ΑΠΟΘΗΚΕΥΣΕΩΝ ΔΙΑΝΟΜΩΝ
C0016313,NOKIA SOLUTIONS & NETWORKS SA
C0016315,SKYLAB-MED ΑΕ
C0016320,ADVANCED CONSULTING AE
C0016324,ΚΑΝΕΛΛΑΚΗΣ Α.Ε.
C0016325,C.N.I ΕΝΕΡΓΕΙΑΚΗ  ΑΕ
C0016328,ΟΤΕ Α.Ε.  ΑΣΦΑΛΙΣΤΙΚΗΣ ΠΡΑΚΤΟΡΕΥΣΗΣ
C0016331,G4S ΙΔΙΩΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΠΑΡΟΧΗΣ ΕΠΑΝΔΡΩΜΕΝΩΝ ΤΕΧΝΙ
C0016335,ΠΑΝΑΘΗΝΑΙΚΟΣ Α.Ο-ΚΑΛΑΘΟΣΦΑΙΡΙΚΗ ΑΕ
C0016336,Α.Ν ΚΩΣΤΟΠΟΥΛΟΣ ΑΕ
C0016339,BECTON DICKINSON HELLAS A E
C0016345,Α.Τ.Ε.Σ.Ε .ΑΕ
C0016346,ITF HELLAS AEΕ
C0016347,ΕΝΟΡΑΣΙΣ ΑΕ
C0016350,ΕΛΤΡΕΚΚΑ ΑΕ
C0016351,NEW ACCOUNTS AE
C0016353,CONNECT LINE ΑΕ
C0016355,ΜΥΛΩΝΑΣ ΥΦΑΣΜΑΤΑ ΑΕΕ
C0016361,ΕΠΤΑΗΜΕΡΟ ΑΕΒΕ
C0016362,IMPERIAL QUALITY BRANDS AE
C0016366,ΤΥΜΠΑΝΙΔΗΣ Α. ΓΕΡΟΝΤΙΔΗΣ
C0016372,SPORT CAFE AE
C0016377,ZETES NETWAVE ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ
C0016379,ΘΕΟΔΩΡΟΥ ΑΦΟΙ ΑΕ
C0016387,ΤΖΙ -ΕΣ ΑΒΕΕ
C0016389,ΦΟΥΝΤΛΙΝΚ Α.Ε.
C0016395,ΓΙΑΛΤΙΖΟΓΛΟΥ Σ. ΜΠ. ΔΕΡΜ. ΕΙΔΗ ΑΕ
C0016396,WRE HELLAS ΑΕ
